14:28:17, CPU, %user, %nice, %system, %iowait, %steal, %idle
14:28:18, all,  6.57,  0.00,    4.55,    0.00,   0.00, 88.89
14:28:19, all,  2.03,  0.00,    4.06,    0.00,   0.00, 93.91
14:28:20, all,  3.08,  0.00,    3.08,    9.23,   0.00, 84.62
14:28:21, all, 33.33,  0.00,   22.56,    1.03,   0.00, 43.08
14:28:22, all, 30.85,  0.00,   23.40,    0.00,   0.00, 45.74
14:28:23, all, 34.87,  0.00,   21.54,    0.00,   0.00, 43.59
14:28:24, all, 35.26,  0.00,   21.58,    0.00,   0.00, 43.16
14:28:25, all, 33.85,  0.00,   22.40,    0.00,   0.00, 43.75
14:28:26, all, 33.68,  0.00,   22.63,    1.05,   0.00, 42.63
14:28:27, all, 38.34,  0.00,   18.65,    0.00,   0.00, 43.01
14:28:28, all, 33.33,  0.00,   22.40,    0.00,   0.00, 44.27
14:28:29, all, 35.26,  0.00,   20.53,    0.00,   0.00, 44.21
14:28:30, all, 34.54,  0.00,   21.65,    0.00,   0.00, 43.81
14:28:31, all, 35.60,  0.00,   20.94,    1.57,   0.00, 41.88
14:28:32, all, 34.02,  0.00,   22.68,    0.00,   0.00, 43.30
14:28:33, all, 34.74,  0.00,   21.58,    2.11,   0.00, 41.58
14:28:34, all, 34.03,  0.00,   21.99,    0.00,   0.00, 43.98
14:28:35, all, 33.51,  0.00,   22.87,    0.00,   0.00, 43.62
14:28:36, all, 33.68,  0.00,   22.28,    0.00,   0.00, 44.04
14:28:37, all, 37.70,  0.00,   21.99,    0.52,   0.00, 39.79
14:28:38, all, 34.54,  0.00,   21.65,    2.06,   0.00, 41.75
14:28:39, all, 35.29,  0.00,   20.86,    0.00,   0.00, 43.85
14:28:40, all, 33.33,  0.00,   22.92,    0.00,   0.00, 43.75
14:28:41, all, 33.33,  0.00,   22.56,    1.03,   0.00, 43.08
14:28:42, all, 36.02,  0.00,   19.35,    1.08,   0.00, 43.55
14:28:43, all, 31.91,  0.00,   22.87,    0.00,   0.00, 45.21
14:28:44, all, 32.97,  0.00,   21.62,    0.00,   0.00, 45.41
14:28:45, all, 37.17,  0.00,   20.42,    0.00,   0.00, 42.41
14:28:46, all, 35.75,  0.00,   21.76,    0.00,   0.00, 42.49
14:28:47, all, 34.57,  0.00,   19.68,    0.00,   0.00, 45.74
14:28:48, all, 31.91,  0.00,   22.87,    1.06,   0.00, 44.15
14:28:49, all, 33.85,  0.00,   21.88,    0.00,   0.00, 44.27
14:28:50, all, 33.16,  0.00,   19.47,    0.00,   0.00, 47.37
14:28:51, all,  9.90,  0.00,    8.85,    0.00,   0.00, 81.25
14:28:52, all, 13.85,  0.00,    8.21,    1.54,   0.00, 76.41
14:28:53, all, 10.71,  0.00,   11.73,    1.53,   0.00, 76.02
14:28:54, all, 12.24,  0.00,    9.69,    0.00,   0.00, 78.06
14:28:55, all, 10.66,  0.00,    9.14,    0.00,   0.00, 80.20
14:28:56, all,  8.33,  0.00,    9.38,    0.00,   0.00, 82.29
14:28:57, all,  9.23,  0.00,   10.26,    1.54,   0.00, 78.97
14:28:58, all,  9.23,  0.00,    8.72,    1.54,   0.00, 80.51
14:28:59, all, 11.22,  0.00,    9.18,    0.51,   0.00, 79.08
14:29:00, all, 11.17,  0.00,   11.68,    0.00,   0.00, 77.16
14:29:01, all,  9.28,  0.00,    9.79,    0.00,   0.00, 80.93
14:29:02, all, 11.40,  0.00,    9.33,    0.00,   0.00, 79.27
14:29:03, all, 11.05,  0.00,    7.37,    1.58,   0.00, 80.00
14:29:04, all,  8.76,  0.00,    9.79,    1.03,   0.00, 80.41
14:29:05, all, 11.22,  0.00,    9.18,    0.00,   0.00, 79.59
14:29:06, all, 12.95,  0.00,    9.84,    0.00,   0.00, 77.20
14:29:07, all, 11.50,  0.00,    9.50,    0.00,   0.00, 79.00
14:29:08, all, 11.73,  0.00,    8.16,    2.04,   0.00, 78.06
14:29:09, all, 11.68,  0.00,    8.63,    4.06,   0.00, 75.63
14:29:10, all,  8.29,  0.00,    9.84,    4.66,   0.00, 77.20
14:29:11, all, 11.34,  0.00,    9.28,    0.00,   0.00, 79.38
14:29:12, all, 10.64,  0.00,    7.45,    0.00,   0.00, 81.91
14:29:13, all, 10.77,  0.00,   10.26,    0.00,   0.00, 78.97
14:29:14, all, 10.82,  0.00,    8.76,    1.03,   0.00, 79.38
14:29:15, all, 10.47,  0.00,    8.38,    0.00,   0.00, 81.15
14:29:16, all,  9.69,  0.00,   11.73,    1.02,   0.00, 77.55
14:29:17, all, 11.34,  0.00,    8.76,    0.00,   0.00, 79.90
Average:, all, 22.08,  0.00,   15.18,    0.72,   0.00, 62.03
